,0,1,2
0,Milano Cafe,(419) 331-2220,https://www.yellowpages.com/lima-oh/mip/milano-cafe-28532017
1,Fazoli's,(419) 222-4076,https://www.yellowpages.com/lima-oh/mip/fazolis-3954441
2,Joey's Submarines,(419) 224-5639,https://www.yellowpages.com/lima-oh/mip/joeys-submarines-459468633
3,Rapid Fired Pizza,(419) 221-4747,https://www.yellowpages.com/lima-oh/mip/rapid-fired-pizza-530283612
4,Pandrones Pizza West,(419) 331-3111,https://www.yellowpages.com/lima-oh/mip/pandrones-pizza-west-1175303
5,Kosta's Topp Chalet Restaurant & Lounge,(419) 692-8888,https://www.yellowpages.com/delphos-oh/mip/kostas-topp-chalet-restaurant-lounge-1950911
6,Niedeckens's Carry-Out,(419) 692-0891,https://www.yellowpages.com/delphos-oh/mip/niedeckenss-carry-out-10063651
7,Rigali's Pizza Village,(419) 228-9269,https://www.yellowpages.com/lima-oh/mip/rigalis-pizza-village-4889078
